,cb amplifier,cc amplifier,ce amplifier,diode limiter & clamper,filter,multistage amplifier,ohm's law & kirchhoff's law,pn junction,power supply,pushpull amplifier,rectifier,series & parallel circuit,series/parallel combination,transistor,zener diode & regulator
alternating_current_behavior,,,,,{'autotutor deep reasoning conversations'},,,,{'autotutor knowledge check conversations'},,,,,,
basic_capacitor_filter_behavior,,,,,"{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,,,,,,,
bridge_rectifier_behavior,,,,,{'autotutor knowledge check conversations'},,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,
bridge_rectifier_with_capacitor_behavior,,,,,{'autotutor knowledge check conversations'},,,,,,,,,,
capacitor_behavior,,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}","{'autotutor knowledge check conversations', 'dragoon modeling'}",,,,{'autotutor deep reasoning conversations'},,,,,,
cb_amplifier_structure,{'autotutor knowledge check conversations'},,,,,,,,,,,,,,
cb_transistor_amplifier_ac_behavior,{'autotutor knowledge check conversations'},,,,,,,,,,,,,,
cb_transistor_amplifier_dc_behavior,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,,,,
cb_transistor_amplifier_function,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,,,{'autotutor deep reasoning conversations'},
cc_transistor_amplifier_dc_behavior,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_function,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_parameter,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
cc_transistor_amplifier_structure,,{'autotutor knowledge check conversations'},,,,,,,,,,,,,
ce_push_pull_amplifier_ac_behavior,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_push_pull_amplifier_function,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_push_pull_amplifier_structure,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,
ce_transistor_battery_bias_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,,
ce_transistor_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",
ce_transistor_fixed_bias_ac_behavior,,,{'autotutor knowledge check conversations'},,,,,,,,,,,,
ce_transistor_fixed_bias_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,,,,,,
ce_transistor_fixed_bias_dc_behavior,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'circuit reasoning'}",,,,,,,,,,,,
ce_transistor_fixed_bias_function,,,{'circuit reasoning'},,,,,,,,,,,,
ce_transistor_fixed_bias_structure,,,{'circuit reasoning'},,,,,,,,,,,,
ce_transistor_function,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",
ce_transistor_parameters,,,{'autotutor knowledge check conversations'},,,{'autotutor deep reasoning conversations'},,,,,,,,{'autotutor knowledge check conversations'},
ce_transistor_physics,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,{'autotutor knowledge check conversations'},
ce_transistor_voltage_divider_bias_behavior,,,"{'autotutor deep reasoning conversations', 'dragoon modeling'}",,,{'autotutor deep reasoning conversations'},,,,,,,,,
ce_transistor_voltage_divider_bias_dc_behavior,,,{'circuit reasoning'},,,{'autotutor deep reasoning conversations'},,,,,,,,,
clamper_behavior,,,,{'autotutor deep reasoning conversations'},,,,,,,,,,,
clamper_function,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,,,,,
clamper_structure,,,,{'autotutor knowledge check conversations'},,,,,,,,,,,
complexequivalentresistance_structure,,,,,,,,,,,,,{'electronic laws'},,
current_division_parameters,,,,,,,{'electronic laws'},,,,,,,,
diode_behavior_avalanche,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,
diode_behavior_forward,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",{'dragoon modeling'},,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,{'autotutor knowledge check conversations'},,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
diode_behavior_reverse,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",{'dragoon modeling'},,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations', 'dragoon modeling'}",,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}"
diode_physics,,,,,,,,"{'autotutor knowledge check conversations', 'autotutor deep reasoning conversations'}",,,,,,,
diode_structure,,,,,,,,{'autotutor deep reasoning conversations'},,,,,,,
